frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
162,4,0.889,6.006,1.309,6.247,0.002,-0.003,0.772,5.936,0.019,0.005
163,4,0.874,5.997,1.309,6.247,-0.015,-0.01,0.689,5.886,-0.084,-0.05
163,2,1.685,6.078,2.121,6.354,0.033,0.009,1.621,6.042,0.024,0.002
163,1,1.707,6.088,2.108,6.352,0.049,0.021,1.67,6.075,0.051,0.025
164,4,0.872,5.992,1.319,6.246,-0.002,-0.004,0.767,5.931,0.078,0.045
164,2,1.682,6.072,2.12,6.364,-0.003,-0.006,1.627,6.04,0.006,-0.002
165,4,0.872,5.99,1.334,6.252,-0.0,-0.002,0.693,5.88,-0.074,-0.051
165,2,1.692,6.078,2.13,6.361,0.01,0.006,1.634,6.042,0.007,0.002
166,4,0.891,6.002,1.324,6.253,0.019,0.012,0.766,5.931,0.073,0.051
166,2,1.689,6.072,2.148,6.367,-0.003,-0.006,1.646,6.047,0.012,0.005
167,4,0.904,6.003,1.345,6.251,0.013,0.0,0.764,5.919,-0.002,-0.012
167,1,1.71,6.081,2.164,6.375,0.003,-0.007,1.657,6.05,-0.013,-0.025
168,4,0.927,6.014,1.354,6.264,0.023,0.011,0.755,5.916,-0.009,-0.003
168,1,1.709,6.07,2.187,6.374,-0.001,-0.012,1.66,6.04,0.004,-0.01
169,4,0.922,6.011,1.366,6.261,-0.005,-0.003,0.745,5.906,-0.01,-0.009
169,1,1.726,6.069,2.155,6.368,0.017,-0.0,1.586,5.983,-0.074,-0.057
170,4,0.939,6.015,1.366,6.261,0.018,0.004,0.767,5.914,0.022,0.008
170,1,1.736,6.079,2.179,6.375,0.01,0.01,1.688,6.058,0.102,0.075
171,4,0.941,6.012,1.374,6.262,0.002,-0.003,0.837,5.954,0.07,0.04
171,1,1.736,6.076,2.183,6.379,0.0,-0.003,1.693,6.055,0.004,-0.003
172,1,1.751,6.079,2.214,6.387,0.014,0.003,1.61,5.983,-0.082,-0.072
172,4,0.931,6.008,1.376,6.26,-0.01,-0.004,0.85,5.961,0.013,0.007
173,1,1.754,6.079,2.218,6.39,0.003,-0.0,1.706,6.055,0.095,0.072
173,4,0.947,6.016,1.384,6.261,0.016,0.007,0.85,5.957,-0.0,-0.004
174,4,0.95,6.017,1.381,6.266,0.003,0.002,0.828,5.945,-0.022,-0.012
174,1,1.757,6.079,2.226,6.389,0.003,0.0,1.735,6.07,0.029,0.015
175,4,0.933,6.006,1.383,6.264,-0.017,-0.012,0.814,5.933,-0.014,-0.013
175,1,1.763,6.079,2.233,6.39,0.006,0.0,1.732,6.067,-0.003,-0.003
176,4,0.954,6.015,1.383,6.264,0.021,0.009,0.853,5.959,0.039,0.026
176,1,1.761,6.076,2.237,6.394,-0.002,-0.003,1.716,6.05,-0.017,-0.017
177,4,0.964,6.021,1.397,6.269,0.009,0.006,0.832,5.945,-0.021,-0.014
177,1,1.769,6.08,2.236,6.386,0.007,0.003,1.745,6.066,0.029,0.016
178,4,0.971,6.023,1.407,6.268,0.008,0.003,0.841,5.943,0.009,-0.002
178,1,1.775,6.079,2.245,6.393,0.006,-0.0,1.745,6.064,0.001,-0.002
179,4,0.99,6.034,1.407,6.268,0.019,0.011,0.931,5.998,0.091,0.055
179,1,1.785,6.086,2.243,6.395,0.01,0.006,1.759,6.075,0.014,0.011
180,4,0.992,6.034,1.405,6.271,0.002,-0.0,0.958,6.014,0.026,0.016
180,1,1.783,6.08,2.241,6.39,-0.002,-0.006,1.783,6.085,0.023,0.01
181,4,0.99,6.03,1.415,6.27,-0.002,-0.004,0.94,6.003,-0.018,-0.011
181,1,1.797,6.085,2.259,6.386,0.013,0.005,1.715,6.035,-0.067,-0.05
182,4,0.985,6.025,1.412,6.275,-0.005,-0.005,0.925,5.994,-0.016,-0.009
182,1,1.799,6.083,2.261,6.384,0.003,-0.002,1.757,6.053,0.042,0.018
