frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
48,2,-12.45,-22.045,-2.552,-8.551,1.084,1.323,-30.564,-46.43,0.622,0.443
48,1,2.037,3.967,2.949,4.314,0.034,-0.211,1.313,3.897,-0.003,-0.243
49,2,-10.678,-19.72,-1.996,-7.73,1.772,2.325,-29.841,-45.804,0.723,0.625
49,1,1.742,3.98,2.863,4.514,-0.295,0.013,1.252,3.945,-0.061,0.047
50,2,-9.914,-18.763,-1.892,-7.545,0.764,0.957,-28.297,-43.904,1.545,1.9
50,1,1.379,3.669,2.968,4.1,-0.363,-0.311,0.488,3.46,-0.764,-0.485
51,2,-9.674,-18.523,-1.927,-7.658,0.24,0.24,-26.606,-41.756,1.691,2.148
51,1,1.337,3.511,3.103,3.753,-0.042,-0.157,0.51,3.221,0.022,-0.238
52,2,-9.023,-17.663,-1.764,-7.398,0.651,0.86,-26.114,-41.403,0.492,0.353
52,1,1.407,3.394,2.993,4.213,0.07,-0.117,0.526,3.161,0.017,-0.061
53,2,-9.588,-18.511,-1.684,-7.347,-0.565,-0.848,-31.262,-48.474,-5.148,-7.071
53,1,1.377,3.288,2.861,4.519,-0.03,-0.105,0.391,3.037,-0.136,-0.124
54,2,-9.797,-18.919,-2.205,-8.121,-0.209,-0.408,-28.423,-44.768,2.839,3.705
54,1,1.389,3.126,2.861,4.519,0.012,-0.163,0.434,2.777,0.044,-0.26
55,2,-10.038,-19.324,-2.384,-8.407,-0.241,-0.405,-32.921,-51.192,-4.498,-6.424
55,1,1.307,2.956,2.861,4.519,-0.082,-0.169,0.314,2.634,-0.12,-0.142
56,2,-10.38,-19.874,-2.445,-8.505,-0.341,-0.55,-36.17,-55.986,-3.249,-4.794
56,1,1.336,2.878,2.903,4.421,0.029,-0.078,0.084,2.436,-0.23,-0.199
57,2,-11.026,-20.895,-2.78,-9.169,-0.646,-1.022,-40.037,-61.837,-3.867,-5.851
57,1,1.255,2.728,2.938,4.34,-0.081,-0.15,-0.129,2.103,-0.213,-0.333
58,1,1.275,2.522,3.008,4.178,0.021,-0.205,-0.469,1.634,-0.34,-0.469
58,2,-11.21,-21.226,-2.847,-9.276,-0.184,-0.33,-39.276,-60.885,0.761,0.952
59,1,1.234,2.256,3.105,3.952,-0.041,-0.267,-0.566,1.028,-0.097,-0.606
59,2,-11.394,-21.607,-3.034,-9.621,-0.184,-0.382,-45.646,-70.254,-6.37,-9.369
60,2,-11.247,-21.501,-2.941,-9.537,0.147,0.106,-41.822,-65.204,3.824,5.05
60,1,1.222,2.078,3.135,3.882,-0.012,-0.178,-0.928,0.575,-0.362,-0.453
61,2,-11.857,-22.505,-3.141,-9.882,-0.61,-1.004,-46.768,-72.339,-4.946,-7.135
61,1,1.055,1.855,3.206,3.719,-0.167,-0.223,-1.439,0.088,-0.51,-0.487
62,2,-12.865,-24.07,-3.275,-10.123,-1.008,-1.564,-45.536,-70.723,1.232,1.616
62,1,0.983,1.655,3.235,3.65,-0.072,-0.2,-1.901,-0.481,-0.463,-0.569
63,2,-13.72,-25.393,-3.599,-10.578,-0.856,-1.323,-68.646,-104.3,-23.11,-33.576
63,1,0.908,1.445,3.275,3.557,-0.075,-0.21,-2.486,-1.103,-0.584,-0.622
63,3,1.854,4.079,2.868,4.503,0.0,0.0,1.065,4.015,0.0,0.0
64,2,-13.72,-25.492,-3.488,-10.491,0.001,-0.1,-85.504,-128.931,-16.858,-24.631
64,1,0.806,1.164,3.415,3.233,-0.102,-0.281,-2.578,-1.48,-0.092,-0.377
64,3,1.557,3.895,2.892,4.447,-0.297,-0.184,0.753,3.828,-0.312,-0.188
65,2,-13.818,-25.784,-3.445,-10.536,-0.098,-0.292,-95.799,-144.064,-10.295,-15.133
65,1,0.545,0.763,3.311,3.031,-0.261,-0.402,-3.187,-2.378,-0.609,-0.898
65,3,1.41,3.771,2.868,4.503,-0.147,-0.123,0.283,3.61,-0.47,-0.217
66,2,-13.781,-25.804,-3.683,-10.901,0.037,-0.02,-89.283,-134.877,6.516,9.187
66,1,0.662,0.713,3.519,2.826,0.117,-0.05,-1.765,-1.304,1.422,1.074
66,3,1.365,3.578,3.014,4.163,-0.045,-0.193,0.457,3.351,0.174,-0.259
67,1,0.376,0.282,3.39,2.675,-0.286,-0.431,-2.959,-2.708,-1.194,-1.404
67,2,-14.053,-26.25,-3.477,-10.704,-0.272,-0.446,-114.377,-172.47,-25.094,-37.593
67,3,0.844,3.279,2.764,3.731,-0.521,-0.299,-0.146,3.032,-0.603,-0.319
68,2,-11.981,-23.369,-4.332,-11.988,2.072,2.881,-27.071,-45.372,87.306,127.098
68,1,0.249,-0.001,3.123,2.503,-0.128,-0.283,-2.834,-2.599,0.125,0.109
68,3,1.107,3.306,2.859,4.524,0.262,0.026,-0.704,2.927,-0.558,-0.105
69,1,-0.179,-0.516,2.871,2.168,-0.428,-0.515,-3.146,-3.081,-0.312,-0.481
69,2,-15.02,-27.958,-4.03,-11.615,-3.039,-4.59,-95.868,-146.608,-68.797,-101.236
69,3,1.099,3.158,2.859,4.524,-0.008,-0.148,-0.618,2.698,0.087,-0.229
70,1,-0.292,-0.788,2.843,1.927,-0.112,-0.272,-3.922,-4.124,-0.776,-1.044
70,3,1.03,3.033,2.861,4.519,-0.069,-0.125,-0.787,2.457,-0.17,-0.241
70,2,-11.605,-23.006,-4.076,-11.788,3.415,4.952,-26.018,-44.381,69.85,102.228
71,1,-0.377,-1.018,3.116,1.758,-0.085,-0.23,-4.258,-4.748,-0.336,-0.624
71,2,-11.497,-22.934,-3.956,-11.686,0.109,0.072,-28.501,-48.131,-2.483,-3.751
71,3,1.022,2.923,2.861,4.519,-0.008,-0.11,-1.164,2.312,-0.377,-0.146
72,1,-0.653,-1.372,2.823,1.57,-0.276,-0.354,-5.059,-5.681,-0.801,-0.932
72,3,0.958,2.762,2.907,4.411,-0.064,-0.162,-1.27,1.85,-0.106,-0.462
72,2,-10.254,-21.157,-4.151,-11.936,1.242,1.777,-19.33,-34.628,9.17,13.503
73,1,-1.214,-1.964,2.396,1.414,-0.561,-0.592,-6.86,-7.159,-1.801,-1.478
73,3,0.975,2.515,3.028,4.132,0.017,-0.247,-0.7,1.611,0.57,-0.239
73,2,-11.685,-23.323,-4.227,-12.087,-1.431,-2.166,-31.302,-52.28,-11.972,-17.652
74,1,-1.577,-2.439,2.359,1.184,-0.362,-0.475,-6.843,-7.335,0.017,-0.176
74,3,0.963,2.342,3.006,4.183,-0.012,-0.172,-0.454,1.502,0.245,-0.108
74,2,-11.409,-22.988,-4.382,-12.394,0.276,0.335,-32.668,-54.36,-1.365,-2.08
75,1,-1.563,-2.687,2.256,1.078,0.014,-0.248,-7.155,-7.99,-0.312,-0.655
75,3,0.944,2.187,3.062,4.052,-0.019,-0.155,-0.631,1.238,-0.177,-0.265
75,2,-10.635,-21.893,-5.444,-13.887,0.774,1.095,-18.591,-33.663,14.077,20.697
76,1,-1.857,-3.136,2.134,0.832,-0.295,-0.448,-7.44,-8.403,-0.285,-0.413
76,3,0.891,1.946,3.148,3.853,-0.053,-0.241,-1.144,0.605,-0.513,-0.633
76,2,-10.291,-21.482,-6.214,-15.153,0.344,0.411,-13.543,-26.201,5.048,7.461
77,1,-1.901,-3.315,2.09,0.578,-0.044,-0.179,-6.928,-8.273,0.512,0.13
77,3,0.841,1.745,3.212,3.704,-0.05,-0.202,-1.442,0.149,-0.298,-0.455
77,2,-9.492,-20.3,-5.576,-14.297,0.799,1.182,-13.568,-26.319,-0.024,-0.118
78,1,-2.1,-3.677,2.033,0.517,-0.199,-0.363,-7.968,-9.433,-1.04,-1.16
78,3,0.71,1.515,3.237,3.646,-0.131,-0.23,-1.7,-0.061,-0.257,-0.21
78,2,-10.683,-22.196,-5.36,-14.212,-1.191,-1.896,-14.491,-27.799,-0.923,-1.48
79,1,-2.285,-4.031,1.71,0.234,-0.184,-0.354,-7.641,-9.402,0.327,0.031
79,3,0.575,1.251,3.326,3.441,-0.135,-0.264,-2.705,-1.033,-1.005,-0.973
79,2,1.833,4.083,2.857,4.529,12.515,26.279,1.03,4.019,15.52,31.818
80,1,-2.423,-4.333,1.641,-0.354,-0.138,-0.302,-7.435,-9.448,0.207,-0.046
80,3,0.628,1.038,3.434,3.19,0.053,-0.213,-2.86,-1.751,-0.155,-0.717
80,2,1.428,3.899,2.921,4.381,-0.405,-0.184,0.19,3.775,-0.84,-0.244
81,1,-2.637,-4.72,1.695,-0.525,-0.215,-0.387,-8.017,-10.43,-0.582,-0.982
81,3,0.452,0.713,3.382,3.007,-0.176,-0.324,-2.87,-2.037,-0.01,-0.286
81,2,1.366,3.745,2.859,4.524,-0.061,-0.154,0.299,3.683,0.109,-0.092
82,1,-2.373,-4.58,1.85,-0.422,0.264,0.14,-8.155,-10.669,-0.138,-0.239
82,3,0.263,0.402,3.27,2.914,-0.189,-0.311,-4.304,-3.383,-1.434,-1.346
82,2,1.125,3.546,2.975,4.254,-0.241,-0.199,-0.409,3.335,-0.708,-0.347
83,3,0.214,0.201,3.396,2.697,-0.049,-0.202,-3.837,-3.354,0.468,0.028
83,1,-2.516,-4.835,1.713,-0.49,-0.143,-0.254,-7.764,-10.528,0.391,0.141
83,2,1.044,3.401,3.077,4.017,-0.081,-0.145,-0.804,3.054,-0.395,-0.282
84,3,0.041,-0.13,3.238,2.512,-0.173,-0.331,-4.202,-3.668,-0.365,-0.314
84,1,-2.834,-5.381,1.529,-0.764,-0.318,-0.546,-7.578,-10.64,0.186,-0.112
84,2,0.973,3.279,2.925,4.37,-0.071,-0.122,-1.292,2.799,-0.488,-0.255
85,1,-3.09,-5.859,1.258,-0.993,-0.256,-0.478,-10.804,-14.19,-3.226,-3.55
85,3,-0.453,-0.722,3.054,1.935,-0.493,-0.592,-4.187,-3.967,0.015,-0.299
85,2,0.962,3.166,2.932,4.355,-0.012,-0.114,-0.585,2.767,0.706,-0.032
86,3,-0.517,-0.897,3.142,1.825,-0.064,-0.175,-4.897,-4.864,-0.71,-0.897
86,1,-3.606,-6.535,1.141,-1.163,-0.516,-0.676,-13.299,-17.296,-2.495,-3.105
86,2,0.853,3.019,2.859,4.524,-0.109,-0.146,-0.553,2.605,0.033,-0.163
87,3,-0.614,-1.133,3.195,1.869,-0.097,-0.236,-6.14,-6.354,-1.242,-1.49
87,1,-4.256,-7.224,1.038,-1.45,-0.65,-0.689,-11.656,-15.564,1.643,1.732
87,2,0.83,2.884,2.861,4.519,-0.023,-0.136,-0.994,2.444,-0.442,-0.161
88,1,-4.203,-7.402,0.923,-1.571,0.054,-0.178,-12.681,-16.834,-1.025,-1.271
88,2,0.866,2.749,2.907,4.411,0.037,-0.135,-0.874,2.065,0.12,-0.378
88,3,-1.001,-1.594,2.87,1.647,-0.387,-0.461,-5.716,-5.929,0.423,0.425
89,2,0.864,2.585,2.943,4.33,-0.002,-0.163,-0.803,1.78,0.071,-0.285
89,3,-1.294,-1.916,2.631,1.464,-0.293,-0.322,-6.77,-6.79,-1.053,-0.861
89,1,-5.149,-8.598,0.321,-2.203,-0.947,-1.195,-14.059,-18.718,-1.378,-1.884
90,1,-5.123,-8.794,0.126,-2.549,0.027,-0.196,-14.398,-19.596,-0.339,-0.878
90,2,0.816,2.354,3.051,4.077,-0.048,-0.231,-1.051,1.393,-0.248,-0.387
90,3,-1.862,-2.591,2.423,1.309,-0.568,-0.675,-7.283,-7.524,-0.513,-0.734
91,3,-1.997,-2.917,2.302,1.143,-0.135,-0.326,-7.657,-8.309,-0.374,-0.785
91,1,-5.324,-9.169,0.149,-2.685,-0.201,-0.375,-12.819,-17.703,1.579,1.893
91,2,0.837,2.129,3.099,3.967,0.021,-0.225,-0.908,1.029,0.142,-0.364
92,1,-5.493,-9.465,-0.217,-3.115,-0.169,-0.296,-14.502,-19.821,-1.683,-2.118
